Ctyname,stname,ststatus,stcode,ctycode,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019,Cases2020,Cases2021,Cases2022,TOT_POP
Autauga County,Alabama,Low Incidence,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,59726
Baldwin County,Alabama,Low Incidence,1,3,0,1,0,0,0,0,0,0,1,0,1,1,0,3,1,2,2,0,0,0,3,2,246531
Barbour County,Alabama,Low Incidence,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,24700
Bibb County,Alabama,Low Incidence,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,21986
Blount County,Alabama,Low Incidence,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,59516
Bullock County,Alabama,Low Incidence,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10143
Butler County,Alabama,Low Incidence,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18668
Calhoun County,Alabama,Low Incidence,1,15,0,0,0,0,0,0,1,0,0,0,2,1,3,2,0,1,0,0,3,0,2,1,115780
Chambers County,Alabama,Low Incidence,1,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,34164
Cherokee County,Alabama,Low Incidence,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25353
Chilton County,Alabama,Low Incidence,1,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,45848
Choctaw County,Alabama,Low Incidence,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12431
Clarke County,Alabama,Low Incidence,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22574
Clay County,Alabama,Low Incidence,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,14183
Cleburne County,Alabama,Low Incidence,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,15372
Coffee County,Alabama,Low Incidence,1,31,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2,54840
Colbert County,Alabama,Low Incidence,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,57993
Conecuh County,Alabama,Low Incidence,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11224
Coosa County,Alabama,Low Incidence,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,10307
Covington County,Alabama,Low Incidence,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,37603
Crenshaw County,Alabama,Low Incidence,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13048
Cullman County,Alabama,Low Incidence,1,43,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,90663
Dale County,Alabama,Low Incidence,1,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1,49495
Dallas County,Alabama,Low Incidence,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,36729
DeKalb County,Alabama,Low Incidence,1,49,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,4,5,1,2,0,72082
Elmore County,Alabama,Low Incidence,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,2,0,1,0,89600
Escambia County,Alabama,Low Incidence,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36636
Etowah County,Alabama,Low Incidence,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,102903
Fayette County,Alabama,Low Incidence,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,2,16082
Franklin County,Alabama,Low Incidence,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31910
Geneva County,Alabama,Low Incidence,1,61,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,26760
Greene County,Alabama,Low Incidence,1,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7452
Hale County,Alabama,Low Incidence,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,14599
Henry County,Alabama,Low Incidence,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17670
Houston County,Alabama,Low Incidence,1,69,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,108047
Jackson County,Alabama,Low Incidence,1,71,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,3,0,0,0,52923
Jefferson County,Alabama,Low Incidence,1,73,4,2,3,2,0,2,2,0,0,0,0,3,0,4,3,2,4,4,3,0,6,1,665084
Lamar County,Alabama,Low Incidence,1,75,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,13706
Lauderdale County,Alabama,Low Incidence,1,77,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,95875
Lawrence County,Alabama,Low Incidence,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33187
Lee County,Alabama,Low Incidence,1,81,0,0,0,0,0,1,1,0,0,0,1,1,0,2,0,1,1,1,2,0,4,0,180698
Limestone County,Alabama,Low Incidence,1,83,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,1,1,110868
Lowndes County,Alabama,Low Incidence,1,85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9783
Macon County,Alabama,Low Incidence,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18532
Madison County,Alabama,Low Incidence,1,89,1,3,3,0,3,4,0,2,1,0,3,5,3,5,1,1,3,7,5,2,3,3,403605
Marengo County,Alabama,Low Incidence,1,91,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,18791
Marion County,Alabama,Low Incidence,1,93,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,29182
Marshall County,Alabama,Low Incidence,1,95,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,1,2,0,0,0,2,0,99428
Mobile County,Alabama,Low Incidence,1,97,3,2,0,0,0,3,0,3,0,0,0,5,5,1,5,4,3,0,2,1,2,3,411398
Monroe County,Alabama,Low Incidence,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,19412
Montgomery County,Alabama,Low Incidence,1,101,2,2,0,0,0,1,0,0,0,0,2,0,1,4,0,0,0,0,3,0,2,0,226301
